30937f61271564f7d5b3fd59a852ee590e101115 ('Mon', 'Jun', '10', '20:07:18', '2019')
600bc298fbb9bb6546e2c6f4f78cc8b8d68d90d0 ('Thu', 'Dec', '20', '21:13:58', '2018')
00070b65bcf3e5a9dd67ac539260d5e745fb1ed4 ('Wed', 'Dec', '19', '20:11:07', '2018')
27105dee39e9885f5a4ea1c91ded5990c39d16f5 ('Tue', 'Dec', '18', '22:13:23', '2018')
1fc1c8266b5d3fb15f6893dd12a536558fde3277 ('Mon', 'Dec', '17', '21:21:02', '2018')
6a692d179d3ce2c7457fbef41e0c221f74b108e7 ('Sat', 'Dec', '15', '18:22:05', '2018')
c050c53d94caa6fa219c68bbe20f7d5fbe04ef4e ('Fri', 'Dec', '14', '22:39:36', '2018')
56cc0ffaf60e64c1d28a731b3db74dc14f19b132 ('Thu', 'Dec', '13', '22:16:06', '2018')
da0fefa6be3c859b0feb334823e77ba25b05d918 ('Wed', 'Dec', '12', '20:58:34', '2018')
774b8636eb248628730ba78dfaf33ad487e21c67 ('Mon', 'Dec', '10', '21:24:04', '2018')
3f9bb068a8ff0d9dc7d95ed1615d8f7d76174e8a ('Fri', 'Dec', '7', '20:47:20', '2018')
f96e408472e35ad3ba663cdb85c39826145ed95b ('Thu', 'Dec', '6', '20:07:45', '2018')
5507ff4b3a29392d3e9a8ce78d11b2b58274ee64 ('Wed', 'Dec', '5', '22:40:26', '2018')
0e5ba506bcd8951cd0a8358597b4abe049e40a6d ('Tue', 'Dec', '4', '21:17:43', '2018')
236bd58f135a48f2ca81a4515a7ec988f589aea1 ('Mon', 'Dec', '3', '20:57:22', '2018')
df17dbddb68e68468f10a8b71fa6e0d31022436f ('Sun', 'Dec', '2', '21:57:07', '2018')
f4df82f7812efc6db768e720d42ae8007233ef24 ('Sat', 'Dec', '1', '09:39:20', '2018')
a5b3b317b90da1d873e4382f5ba47b202277d2a9 ('Fri', 'Nov', '30', '06:09:01', '2018')
8df1ecedfcfa36cdf519b998134ef56dde53b2ed ('Thu', 'Nov', '22', '17:47:52', '2018')
6ef5b33db14177a420ecb34e41aa068019a42948 ('Wed', 'Nov', '21', '21:01:18', '2018')
d94fd83efae91b30eef8bfd107d974cafa4ec8e0 ('Tue', 'Nov', '20', '20:12:16', '2018')
299d6e4565deaf05f4288461e332390c9669b8c4 ('Mon', 'Nov', '19', '21:22:13', '2018')
3f59aa2d7927a6541908bf4ad5da9a483380cd43 ('Wed', 'Nov', '7', '21:01:56', '2018')
99f8770c679dc01b5f798211cab2945ffc86b846 ('Fri', 'Nov', '2', '20:02:21', '2018')
a5f886f9a60a6857e6cb85dbfc3c5bb2680a0e48 ('Wed', 'Oct', '31', '20:19:59', '2018')
dd42d6900c87882b5f034841f11be34a808ae3cd ('Tue', 'Oct', '30', '22:05:57', '2018')
afdec465e859e42487c12aef5f1331a01f0fce54 ('Mon', 'Oct', '29', '20:50:50', '2018')
02bf391909f5f6091bf24c480fa31245d78b77d7 ('Thu', 'Oct', '25', '20:28:41', '2018')
59f4f3ca60cb8a25185b4e690ec11460b2e04424 ('Mon', 'Oct', '22', '19:16:07', '2018')
ad5f0740bd6a1e278cb14761f2d95dd722ba2513 ('Fri', 'Oct', '19', '19:48:47', '2018')
ce9eb41680b28bdc3fce4ad39f4e087df016fbfa ('Wed', 'Oct', '17', '20:31:35', '2018')
d8d22e2a00651e4b9c7915de7a88d6566730ea86 ('Thu', 'Oct', '11', '20:35:07', '2018')
f3a2274f4fc9f877252df0b86fceee27c67961cc ('Wed', 'Oct', '10', '18:59:56', '2018')
474aa15f23bf6b4a3cfde17debdd991f776347e1 ('Mon', 'Oct', '8', '20:58:18', '2018')
ac154799434108e2f39a9b59b69d748d90c56bd5 ('Fri', 'Oct', '5', '22:36:44', '2018')
a852e2a71c727b3fac129c5ac9f7cc1cba9ac2f4 ('Fri', 'Oct', '5', '09:50:57', '2018')
7f1c459f9637160ba73bfb48f34fe9d15eaa0d0c ('Wed', 'Oct', '3', '20:07:06', '2018')
aa3b35e1362f4483058ef57d284dffdad0e94874 ('Wed', 'Oct', '3', '08:36:27', '2018')
a101f4beea3265c8ce670a85c5b65348ccbd81e8 ('Mon', 'Oct', '1', '17:58:47', '2018')
995209f2a17ee61f94763b4f8d50c445a84f7c00 ('Sat', 'Sep', '29', '21:04:13', '2018')
74d7c44f8f8bfcfa3f2623305735ac1339e498af ('Sat', 'Sep', '29', '09:58:53', '2018')
76cadebb74622798f532eadbec66164a27ab1e92 ('Wed', 'Sep', '26', '19:28:02', '2018')
15ba65d44811d9f6ff5915567f0e615e7c750e03 ('Wed', 'Sep', '26', '09:54:11', '2018')
c6c41bac1cf01bb4b767efd0736bedc8ae8c6b04 ('Mon', 'Sep', '24', '20:39:31', '2018')
83a80bf71b9ad5182b3453c831be81c534884fe9 ('Fri', 'Sep', '21', '21:52:39', '2018')
d6569615747a22300b344cd25b8ae0c9dd7e261f ('Thu', 'Sep', '20', '20:12:36', '2018')
d925eb70b4e6d9bf690affe321b30b2c47a9d306 ('Wed', 'Sep', '19', '21:20:52', '2018')
c8e39797178d161dd3a16f9cd81f3e86bab6cff0 ('Mon', 'Sep', '17', '18:01:23', '2018')
876d8fe08045265fa338a361efb13f9ce87d75df ('Thu', 'Aug', '30', '15:31:45', '2018')
f98a90abac29c0623674a31148f923399ccbb2ab ('Wed', 'Aug', '29', '21:11:34', '2018')
86e48e9b0b09ff4103af5345caae4cb66cbd7f7c ('Wed', 'Aug', '29', '09:09:19', '2018')
1f86e3bdf54bc6b4ffa91aced7274e4ba541b715 ('Mon', 'Aug', '20', '18:16:18', '2018')
9c59740fd67aae4a68610224327d8a91706368fb ('Sat', 'Aug', '18', '12:07:09', '2018')
0e6ede6a447cda57150ac6a6b71e96f78ed59e97 ('Sat', 'Aug', '18', '12:05:50', '2018')
a8400ed062787d15bf2e6d672f3c27a4be7dc88a ('Thu', 'Aug', '9', '21:51:06', '2018')
57a45b45931724eb527ac94fd07335645db68205 ('Wed', 'Aug', '8', '16:18:41', '2018')
14f9a64f232fce19d30ace7ca43ff51e7fad734b ('Tue', 'Aug', '7', '21:28:48', '2018')
2945c8f2a415a69226cecb72ed2741ca17a23d0e ('Mon', 'Aug', '6', '19:37:30', '2018')
72414762aec6ec6b86479e134632c805f9398549 ('Fri', 'Aug', '3', '22:23:33', '2018')
95a97478eec5049a49116235e8c6abd674ab3ca0 ('Fri', 'Jul', '27', '22:36:04', '2018')
05906e3446b4474bb21efd6a65265d064a9d7f6d ('Mon', 'Jul', '23', '22:00:43', '2018')
09e08a38e6d4fdc63989cd9728124bc6d6d1b541 ('Sat', 'Jul', '21', '09:01:14', '2018')
248b5a49e1ca6c1776c3d49fe6b4d427614fb33f ('Fri', 'Jul', '20', '21:19:13', '2018')
af6cfc5d7130763f0fd1638dd78ab3942c50f31d ('Wed', 'Jul', '18', '18:31:15', '2018')
860d47b05b81675bedf326f47d2ddda15ac9cd4a ('Tue', 'Jul', '17', '20:53:58', '2018')
495afdf431500c812874129a441729c37d072328 ('Tue', 'Jul', '17', '18:53:57', '2018')
3d99dfa1cf7c9646b4afb4d3655b8572c14fb733 ('Mon', 'Jul', '16', '19:46:04', '2018')
714fad5902cfb17cf54633e4dba4314a74675047 ('Sat', 'Jul', '14', '09:51:12', '2018')
efdd62b82a99dee47f204fa74242910a89778676 ('Sat', 'Jul', '14', '09:50:51', '2018')
cd4dbc7d9e89ab182c2fb82792f77e03094685b2 ('Tue', 'Jul', '10', '20:54:46', '2018')
395d313b066f7534e0e06c6f30ef4f98c324b14f ('Mon', 'Jul', '9', '20:23:05', '2018')
dfbc690da69e09b55b184028496edd1ab30ceea9 ('Sun', 'Jul', '8', '20:30:04', '2018')
b1de3ddd64e0d7e9438adeafa6724bd4e60e71b8 ('Sun', 'Jul', '8', '20:29:02', '2018')
e328113ec7c6706601ef9da0297d7a82f7c97b5f ('Sun', 'Jul', '8', '20:11:47', '2018')
5ed030fd8df9a137338766ca9cdb01d4c3c6a950 ('Sun', 'Jul', '8', '20:01:45', '2018')
